姓名,属性,弱点,身高,体重,特征,分类,图鉴信息,附加信息,
樂天河童,水草,毒飞行,1.5,55.5,悠游自如 ,樂天寶可夢,快樂的音樂節奏會讓樂天河童的細胞活性化，使牠發揮出強大的力量。,,
橡實果,草,火冰,0.5,4,葉綠素 ,橡實寶可夢,在牠一動也不動的時候，看起來和樹果一模一樣，以嚇唬來啄食自己的寶可夢為樂。,,
長鼻葉,草恶,火冰格斗,1,28,葉綠素 ,捉弄寶可夢,棲息在森林深處。會用頭上的葉子做成笛子，吹出令人感到不安的音色。,,
狡猾天狗,草恶,火冰格斗,1.3,59.6,葉綠素,邪惡寶可夢,過去被視為森林之神而受到畏懼的寶可夢。有著讀取對手想法並搶先一步行動的能力。,,
傲骨燕,一般飞行,电冰岩石,0.3,2.3,毅力,幼燕寶可夢,不管面對多麼強大的對手都會勇敢挑戰。有著就算輸了也不會氣餒的骨氣。肚子餓了就會大聲痛哭。,陷入异常状态时，会拿出毅力，攻击会提高。,
大王燕,一般飞行,电冰岩石,0.7,19.8,毅力,燕子寶可夢,會盤旋在遙遠的高空，發現獵物後就會俯衝而下，用腳爪緊緊抓住獵物令其無法逃脫。,陷入异常状态时，会拿出毅力，攻击会提高。,
长翅鸥,水飞行,电岩石,0.6,9.5,锐利目光,海鷗寶可夢,會乘著上升氣流，如同滑翔機般地飛在空中輸送鳥嘴銜著的食物。,靠着锐利的目光，命中率不会被降低。特湿润之躯天气为下雨时，会治癒异常状态。,
大嘴鸥,水飞行,电岩石,1.2,28,锐利目光,水鳥寶可夢,把小型寶可夢裝在鳥嘴裡飛翔的空中送貨員。會漂浮在海上讓翅膀休息。,靠着锐利的目光，命中率不会被降低。特降雨出场时，会将天气变为下雨。,
拉鲁拉丝,超能力妖精,毒幽灵钢,0.4,6.6,同步,心情寶可夢,擁有使用頭上的紅角就可以敏銳察覺人類感情的能力。,将自己的中毒、麻痺或灼伤状态传染给对手。特复制出场时，复制对手的特，变为与之相同的特。,
奇鲁莉安,超能力妖精,毒幽灵钢,0.8,20.2,同步,感情寶可夢,能夠操縱精神力量來扭曲周圍的空間，讓自己看見未來。,将自己的中毒、麻痺或灼伤状态传染给对手。特复制出场时，复制对手的特，变为与之相同的特。,
沙奈朵,超能力妖精,毒幽灵钢,1.6,48.4,同步,包容寶可夢,如果是為了保護訓練家，牠會不惜用盡自己的精神力量製造出小型黑洞。,将自己的中毒、麻痺或灼伤状态传染给对手。特复制出场时，复制对手的特，变为与之相同的特。,
超级沙奈朵,超能力妖精,毒钢,1.6,48.4,妖精皮肤,包容寶可夢,據說在使用預知未來的能力察覺到訓練家有危險時，就會使出最強的精神能量。,一般属的招式会变为妖精属。威力会少量提高。,
熘熘糖球,虫水,电飞行岩石,0.5,1.7,悠游自如,水黽寶可夢,平時住在池塘裡，午後下過雷陣雨時，會出現在街上的小水窪中。,天气为下雨时，速度会提高。,
雨翅蛾,虫飞行,火电冰飞行岩石,0.8,3.6,威吓,眼珠寶可夢,能用４片翅膀浮在空中，並前後左右自在地飛來飛去。,出场时威吓对手，使其退缩，从而降低对手的攻击。,
蘑蘑菰,草,火冰毒飞行虫,0.4,4.5,孢子,蘑菇寶可夢,喜歡潮濕的地方，白天會動也不動地待在森林的樹蔭下。會從頭上放出毒粉。,透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。特毒疗陷入中毒状态时，ＨＰ不会减少，反而会渐渐增加。,
斗笠菰,草格斗,火冰毒超能力虫妖精,1.2,39.2,孢子,蘑菇寶可夢,會撒出毒孢子，然後再讓因吸入孢子而痛苦不堪的對手吃上一記重拳。,透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。特毒疗陷入中毒状态时，ＨＰ不会减少，反而会渐渐增加。,
懒人獭,一般,格斗,0.8,24,懒惰,懶人寶可夢,１天會睡上２０個小時。使看著自己的對手睡意漸濃也是牠的能力之一。,如果使出招式，下一回合就需要休息。,
过动猿,一般,格斗,1.4,46.5,干劲,暴猿寶可夢,如果不活動身體，就會累積過多的壓力，使身體狀況變糟。,透过激发出干劲，不会陷入睡眠状态。,
请假王,一般,格斗,2,130.5,懒惰,怕麻煩寶可夢,雖然是世界上最懶散的寶可夢，但能藉由把積蓄的能量一次釋放，發揮出驚人的力量。,如果使出招式，下一回合就需要休息。,
土居忍士,虫地面,火水冰飞行,0.5,5.5,复眼,入門寶可夢,因為長時間生活在地底下，所以眼睛幾乎什麼都看不到。會靠觸角來探察周圍的狀況。,因为拥有复眼，会提高招式的命中率。,
铁面忍者,虫飞行,火电冰飞行岩石,0.8,12,加速,忍者寶可夢,一直聽牠的叫聲會讓人頭痛不止。會以肉眼無法看清的速度移動。,每一回合速度会变快。,
脱壳忍者,虫幽灵,火飞行岩石幽灵恶,0.8,1.2,神奇,空殼寶可夢,牠是一種在土居忍士進化時，會神不知鬼不覺地出現在精靈球裡的神奇寶可夢。,守护不可思议的力量，只有效果绝佳的招式才会击中自己。,
咕妞妞,一般,格斗,0.6,16.3,隔音,細語寶可夢,平時聲音小到不注意聽就聽不到，但如果察覺到危險，就會用能引起頭痛的聲音大叫。,透过遮蔽声音，不受到声音招式的攻击。,
吼爆弹,一般,格斗,1,40.5,隔音,大聲寶可夢,會發出能將木造房屋震成碎片的巨大叫聲來折磨對手。圓圓的耳朵具有擴音器的功能。,透过遮蔽声音，不受到声音招式的攻击。,
爆音怪,一般,格斗,1.5,84,隔音,噪音寶可夢,能靠大叫產生的振動引發地震。當牠開始用身上的洞猛烈吸入空氣，就是準備要大叫的前兆。,透过遮蔽声音，不受到声音招式的攻击。,
幕下力士,格斗,飞行超能力妖精,1,86.4,厚脂肪,毅力寶可夢,會在不斷的嚴格訓練中逐漸變強。能夠承受任何攻擊，是很有毅力的寶可夢。,被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特毅力陷入异常状态时，会拿出毅力，攻击会提高。,
铁掌力士,格斗,飞行超能力妖精,2.3,253.8,厚脂肪,猛推寶可夢,最喜歡和對手比力氣。擁有的力量足以一掌擋下迎面馳來的列車。,被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特毅力陷入异常状态时，会拿出毅力，攻击会提高。,
露力丽,一般妖精,毒钢,0.2,2,厚脂肪,水珠寶可夢,身體就像皮球般彈性十足。會揮甩尾巴來對抗體型比自己還大的對手。,被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特大力士物理攻击的威力会变为２倍。,
朝北鼻,岩石,水草格斗地面钢,1,97,结实,羅盤寶可夢,每年只會移動１公分，但在陷入危機時會轉動身體，在一瞬間潛入地底。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特磁力用磁力吸住钢属的,
向尾喵,一般,格斗,0.6,11,迷人之躯,小貓寶可夢,這種寶可夢有著看到動的東西就會不顧一切追著到處跑的習性。會追自己的尾巴追得頭昏眼花。,有时会让接触到自己的对手陷入着迷状态。特一般皮肤无论是什么属的招式，全部都会变为一般属。威力会少量提高。,
优雅猫,一般,格斗,1.1,32.6,迷人之躯,清高寶可夢,個性我行我素，喜歡自由散漫的生活。因為總是想吃就吃，想睡就睡，所以每天都毫無規律可言。,有时会让接触到自己的对手陷入着迷状态。特一般皮肤无论是什么属的招式，全部都会变为一般属。威力会少量提高。,
勾魂眼,恶幽灵,妖精,0.5,11,锐利目光,黑暗寶可夢,會在陰暗的洞窟裡建造住所，並用鋒利的爪子挖寶石吃。,靠着锐利的目光，命中率不会被降低。特慢出使出招式的顺序必定会变为最后。,
超级勾魂眼,恶幽灵,妖精,0.5,161,魔法镜,黑暗寶可夢,胸口的寶石在沐浴了超級進化的能量之後膨脹，撐破皮膚冒了出來。,可不受到由对手使出的变化类招式所影响，并将其反弹。,
大嘴娃,钢妖精,火地面,0.6,11.5,怪力,欺騙寶可夢,用溫順的長相讓對手大意，然後用大顎一口咬住對手。咬住後就絕不會鬆口。,因为拥有以力量为傲的钳子，不会被对手降低攻击。特威吓出场时威吓对手，使其退缩，从而降低对手的攻击。,
超级大嘴娃,钢妖精,火地面,1,23.5,大力士,欺騙寶可夢,具有強大的攻擊性。會用２個大顎夾住獵物，然後使盡力量把對手撕碎。,物理攻击的威力会变为２倍。,
可可多拉,钢岩石,水格斗地面,0.4,60,结实,鐵鎧寶可夢,為了打造鋼鐵的身體，會從山上挖鐵礦吃，但偶爾也會去吃橋樑或鐵軌，因此很令人頭痛。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。,
可多拉,钢岩石,水格斗地面,0.9,120,结实,鐵鎧寶可夢,會喝下滿滿一肚子充滿營養的泉水來鍛鍊自己的鋼鐵身體。會在美味的泉水附近築巢。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。,
波士可多拉,钢岩石,水格斗地面,2.1,360,结实,鐵鎧寶可夢,會把整座山當成自己的地盤。要是誰敢來胡鬧，牠就會毫不留情地狠狠教訓對方。總是在山中四處巡邏。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。,
超级波士可多拉,钢,火格斗地面,2.2,395,过滤,鐵鎧寶可夢,會把整座山當成自己的地盤。要是誰敢來胡鬧，牠就會毫不留情地狠狠教訓對方。總是在山中四處巡邏。,受到效果绝佳的攻击时，可减弱其威力。,
玛沙那,格斗超能力,飞行幽灵妖精,0.6,11.2,瑜伽之力,冥想寶可夢,每天都少不了瑜珈的修行。會藉著冥想提高自身的精神力。,因瑜伽的力量，物理攻击的威力会变为２倍。,
恰雷姆,格斗超能力,飞行幽灵妖精,1.3,31.5,瑜伽之力,冥想寶可夢,可以用藉由瑜珈修行鍛鍊出來的精神力量，來預測對手的行動。,因瑜伽的力量，物理攻击的威力会变为２倍。,
落雷兽,电,地面,0.6,15.2,静电,閃電寶可夢,會將靜電積蓄在體毛中後放電。當暴風雨來臨前，會從全身冒出火花。,身上带有静电，有时会令接触到的对手麻痺。特避雷针将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。,
雷电兽,电,地面,1.5,40.2,静电,放電寶可夢,會用電流刺激肌肉，因此能迅速行動。電流也能讓肌肉放鬆並快速治癒酸痛。,身上带有静电，有时会令接触到的对手麻痺。特避雷针将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。,
超级雷电兽,电,地面,1.8,44,威吓,放電寶可夢,藉由超級進化在體內儲存了驚人的電量，但卻沒有能力好好加以運用。,出场时威吓对手，使其退缩，从而降低对手的攻击。,
正电拍拍,电,地面,0.4,4.2,正电,加油寶可夢,總是在為夥伴加油的寶可夢。當夥伴努力加油的時候，牠會讓身體短路，發出劈哩啪啦的火花聲來表達自己的喜悅。,场上的伙伴之中，如果有正电或负电特的,
负电拍拍,电,地面,0.4,4.2,负电,加油寶可夢,比起自己來，為夥伴加油更重要。會讓體內發出的電流短路，一邊發出華麗的火花一邊為夥伴加油。,场上的伙伴之中，如果有正电或负电特的,
电萤虫,虫,火飞行岩石,0.7,17.7,发光,螢火蟲寶可夢,太陽下山後就會讓尾巴發光，透過亮度或閃爍來和夥伴對話。會被甜甜螢的甜甜香氣吸引。,透过让周围变亮，变得容易遇见野生的,
甜甜萤,虫,火飞行岩石,0.6,17.7,迟钝,螢火蟲寶可夢,會利用甜甜的香氣引誘電螢蟲。然後誘導大量聚集而來的電螢蟲，讓牠們在夜空中描繪幾何圖形。,感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特有色眼镜可将效果不好的招式以正常的威力使出。,
毒蔷薇,草毒,火冰飞行超能力,0.3,2,自然,荊棘寶可夢,只要聞到牠的花香，就能放鬆心情。濃郁的香味是毒薔薇有活力的證明。,回復异常状态会在离场后治癒。特毒刺有时会让接触到自己的对手陷入中毒状态。,
溶食兽,毒,地面超能力,0.4,10.3,污泥浆,胃袋寶可夢,牠的胃能消化任何東西。消化時產生的氣體帶有強烈的惡臭。,吸收了污泥浆的对手会因为强烈的恶臭而使得ＨＰ减少。特黏着道具会黏在具有黏的身体上，不会被对手夺走。,
吞食兽,毒,地面超能力,1.7,80,污泥浆,毒袋寶可夢,只要是可以放進嘴裡的大小，不管是什麼都會整個吞下。能靠特殊的胃液消化任何東西。,吸收了污泥浆的对手会因为强烈的恶臭而使得ＨＰ减少。特黏着道具会黏在具有黏的身体上，不会被对手夺走。,
利牙鱼,水恶,草电格斗虫妖精,0.8,20.8,粗糙皮肤,凶猛寶可夢,個性膽小，只有１隻的話連狩獵也不敢去，但如果聚集了５隻左右就會一下子變得兇暴。,受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。,
巨牙鲨,水恶,草电格斗虫妖精,1.8,88.8,粗糙,凶暴寶可夢,人們相信只要帶著牠脫落的牙齒就不會在海上遭遇事故，因此會將牠的牙齒加工成飾品。,受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。,
超级巨牙鲨,水恶,草电格斗虫妖精,2.5,130.3,强壮之颚,凶暴寶可夢,黃色紋路是過去留下的舊傷。超級進化的能量流過時似乎會陣陣抽痛，讓牠苦不堪言。,颚部强壮，会提高啃咬类招式的威力。,
吼吼鲸,水,草电,2,130,水幕,球鯨寶可夢,把喝入的海水從眼睛上方的鼻孔中噴出來吸引他人。每天要吃１噸弱丁魚。,将水幕裹在身上，不会陷入灼伤状态。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。,
吼鲸王,水,草电,14.5,398,水幕,浮鯨寶可夢,有時會讓大大的身體在波浪上跳躍，藉此製造出衝擊讓對手昏迷。,将水幕裹在身上，不会陷入灼伤状态。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。,
